epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,3383.22,0.97804,0.74456,1.1372,0.55037,0.48698,0.47203,0.23012,1.70251,1.44972,1.74898,0.000398466,0.000398466,0.000398466
124,3410.6,1.00611,0.7923,1.18943,0.5831,0.45923,0.4748,0.23211,1.69967,1.4609,1.74572,0.000396265,0.000396265,0.000396265
125,3436.88,0.98937,0.76728,1.14026,0.57206,0.46429,0.47562,0.23175,1.70514,1.44761,1.74899,0.000394064,0.000394064,0.000394064
126,3464.05,0.99101,0.78789,1.16788,0.56735,0.46281,0.4736,0.23038,1.71349,1.46594,1.77016,0.000391862,0.000391862,0.000391862
127,3491.28,0.99369,0.76456,1.14779,0.55234,0.45584,0.45957,0.22328,1.73309,1.52896,1.78799,0.000389661,0.000389661,0.000389661
128,3518.54,0.96868,0.76826,1.13955,0.58292,0.4529,0.46704,0.22864,1.72758,1.51386,1.77475,0.00038746,0.00038746,0.00038746
129,3546.28,0.98995,0.75588,1.15125,0.5781,0.46248,0.46798,0.22925,1.7245,1.43355,1.76492,0.000385259,0.000385259,0.000385259
130,3573.87,0.96492,0.71248,1.11467,0.54809,0.46835,0.46142,0.22498,1.7015,1.44761,1.74175,0.000383058,0.000383058,0.000383058
131,3601.28,0.97326,0.75585,1.14935,0.56814,0.44537,0.45192,0.2226,1.7129,1.50244,1.74048,0.000380857,0.000380857,0.000380857
132,3629.05,0.9194,0.6888,1.11196,0.59796,0.46691,0.46899,0.22924,1.70754,1.4166,1.76375,0.000378656,0.000378656,0.000378656
133,3656.57,0.95837,0.72012,1.11145,0.5714,0.47015,0.4752,0.22957,1.71169,1.39783,1.77152,0.000376455,0.000376455,0.000376455
134,3683.83,0.95868,0.72896,1.12787,0.58441,0.46496,0.47572,0.23163,1.70694,1.42745,1.76234,0.000374254,0.000374254,0.000374254
135,3711.48,0.94716,0.73729,1.14483,0.55677,0.47855,0.47752,0.23589,1.71824,1.47899,1.77559,0.000372053,0.000372053,0.000372053
136,3739.22,0.95964,0.73317,1.12963,0.56758,0.47464,0.47855,0.23741,1.70498,1.43382,1.77616,0.000369851,0.000369851,0.000369851
137,3766.62,0.89172,0.67337,1.11621,0.56354,0.4735,0.47281,0.23242,1.7127,1.44295,1.78592,0.00036765,0.00036765,0.00036765
138,3794.3,0.91834,0.69945,1.122,0.5613,0.48386,0.48252,0.23472,1.70803,1.3849,1.77731,0.000365449,0.000365449,0.000365449
139,3821.98,0.93744,0.70248,1.12442,0.57254,0.47189,0.47722,0.23413,1.69574,1.40616,1.75897,0.000363248,0.000363248,0.000363248
140,3848.94,0.95175,0.70555,1.11076,0.58222,0.46782,0.47624,0.23358,1.70913,1.43924,1.75912,0.000361047,0.000361047,0.000361047
141,3876.48,0.93322,0.69966,1.12518,0.56952,0.46588,0.47296,0.23274,1.70367,1.44804,1.76461,0.000358846,0.000358846,0.000358846
142,3904.01,0.92537,0.70013,1.10896,0.56581,0.48313,0.47619,0.23307,1.71529,1.41584,1.76805,0.000356645,0.000356645,0.000356645
143,3931.08,0.93711,0.7025,1.12554,0.58758,0.47934,0.48122,0.2367,1.71136,1.40858,1.75538,0.000354444,0.000354444,0.000354444
144,3958.45,0.96972,0.75179,1.11389,0.55985,0.46799,0.47071,0.23416,1.68191,1.41665,1.72956,0.000352243,0.000352243,0.000352243
145,3985.56,0.97262,0.72731,1.14475,0.58108,0.46595,0.47643,0.23418,1.68816,1.43024,1.73468,0.000350042,0.000350042,0.000350042
146,4011.9,0.90742,0.68555,1.10015,0.57399,0.46501,0.47677,0.23307,1.69081,1.39015,1.74994,0.00034784,0.00034784,0.00034784
147,4039.17,0.94602,0.70126,1.13435,0.57607,0.46537,0.47037,0.22588,1.7106,1.41816,1.75656,0.000345639,0.000345639,0.000345639
148,4066.06,0.93235,0.68279,1.10248,0.58128,0.47755,0.4812,0.23504,1.7139,1.40998,1.76605,0.000343438,0.000343438,0.000343438
149,4093.65,0.94368,0.75177,1.1507,0.5743,0.47523,0.47763,0.23461,1.7114,1.41156,1.77378,0.000341237,0.000341237,0.000341237
150,4121.38,0.89005,0.65916,1.09359,0.55778,0.46963,0.46832,0.22752,1.72919,1.4808,1.7784,0.000339036,0.000339036,0.000339036
151,4148.82,0.9402,0.69301,1.10953,0.58112,0.4703,0.48102,0.23401,1.70756,1.43326,1.76595,0.000336835,0.000336835,0.000336835
152,4176.61,0.93098,0.68033,1.09168,0.58196,0.47733,0.48124,0.23693,1.70879,1.44277,1.75748,0.000334634,0.000334634,0.000334634
153,4204.01,0.90355,0.67455,1.10101,0.5786,0.48143,0.48282,0.2365,1.71441,1.43762,1.7578,0.000332433,0.000332433,0.000332433
154,4231.25,0.92598,0.69831,1.11582,0.59034,0.47139,0.48165,0.23521,1.71256,1.41999,1.77286,0.000330232,0.000330232,0.000330232
155,4258.83,0.89274,0.65747,1.10347,0.57188,0.46467,0.472,0.23141,1.72074,1.48627,1.78127,0.000328031,0.000328031,0.000328031
156,4286.37,0.88801,0.65758,1.10919,0.57734,0.46486,0.46791,0.2268,1.74064,1.5358,1.80936,0.000325829,0.000325829,0.000325829
157,4313.83,0.91013,0.67972,1.10727,0.59589,0.47872,0.48144,0.23331,1.72404,1.44395,1.79648,0.000323628,0.000323628,0.000323628
158,4342.71,0.91014,0.69167,1.12518,0.58656,0.47451,0.48055,0.23302,1.72093,1.42899,1.78405,0.000321427,0.000321427,0.000321427
159,4370.27,0.8959,0.67006,1.08537,0.59178,0.46259,0.48005,0.23535,1.70834,1.44318,1.7731,0.000319226,0.000319226,0.000319226
160,4397.81,0.91087,0.66382,1.11333,0.593,0.46093,0.47789,0.23538,1.71437,1.4617,1.77732,0.000317025,0.000317025,0.000317025
161,4425.29,0.8847,0.64523,1.08736,0.57657,0.46997,0.47838,0.23669,1.69835,1.42828,1.76846,0.000314824,0.000314824,0.000314824
162,4452.64,0.93492,0.66944,1.09788,0.60155,0.46567,0.48149,0.23385,1.71063,1.42,1.78254,0.000312623,0.000312623,0.000312623
163,4480.08,0.89279,0.66228,1.07456,0.60203,0.47185,0.48738,0.23877,1.70157,1.41317,1.77562,0.000310422,0.000310422,0.000310422
164,4507.73,0.89216,0.66627,1.10199,0.58905,0.46727,0.48093,0.23732,1.70665,1.43275,1.77222,0.000308221,0.000308221,0.000308221
165,4535.08,0.87725,0.64329,1.07159,0.58941,0.46439,0.47821,0.23835,1.69169,1.4199,1.75548,0.00030602,0.00030602,0.00030602
166,4562.74,0.87054,0.65484,1.09983,0.57771,0.47223,0.4761,0.23546,1.70429,1.4108,1.77031,0.000303818,0.000303818,0.000303818
167,4589.39,0.90814,0.68213,1.10032,0.57354,0.47112,0.47513,0.23489,1.70105,1.4429,1.75181,0.000301617,0.000301617,0.000301617
168,4616.87,0.85607,0.64061,1.07528,0.59201,0.4791,0.48852,0.24156,1.6987,1.41706,1.77098,0.000299416,0.000299416,0.000299416
169,4644.04,0.8684,0.66647,1.09551,0.6056,0.47271,0.48923,0.23984,1.71079,1.41094,1.79134,0.000297215,0.000297215,0.000297215
170,4670.88,0.87706,0.64036,1.0811,0.59452,0.47204,0.48578,0.23949,1.70789,1.41378,1.78419,0.000295014,0.000295014,0.000295014
171,4697.94,0.88485,0.65545,1.08674,0.57872,0.48219,0.48678,0.24037,1.71222,1.42245,1.78612,0.000292813,0.000292813,0.000292813
172,4724.86,0.84651,0.63265,1.07509,0.55732,0.48773,0.48331,0.23443,1.73125,1.43347,1.79918,0.000290612,0.000290612,0.000290612
173,4751.61,0.89524,0.6642,1.10594,0.58188,0.47408,0.48298,0.23402,1.72553,1.43106,1.7978,0.000288411,0.000288411,0.000288411
174,4778.9,0.8687,0.62367,1.07693,0.56267,0.48172,0.48564,0.23932,1.6961,1.4238,1.76598,0.00028621,0.00028621,0.00028621
175,4805.82,0.88108,0.63099,1.06826,0.59963,0.45602,0.47792,0.23524,1.70707,1.46781,1.76003,0.000284009,0.000284009,0.000284009
176,4832.86,0.86751,0.64222,1.07787,0.58081,0.46997,0.47852,0.23773,1.70313,1.46037,1.76617,0.000281807,0.000281807,0.000281807
177,4860.19,0.87517,0.6299,1.09947,0.60336,0.47052,0.48127,0.23616,1.7067,1.43681,1.78472,0.000279606,0.000279606,0.000279606
178,4886.99,0.87928,0.64364,1.08934,0.60548,0.47404,0.48637,0.23793,1.69886,1.40577,1.7779,0.000277405,0.000277405,0.000277405
179,4913.82,0.87671,0.64826,1.08399,0.59299,0.47129,0.48394,0.2366,1.69742,1.3921,1.76976,0.000275204,0.000275204,0.000275204
